onset	duration	trial_type	direction	soundTarget	fixationTarget	event	block	keyName
5.543655	1.200499	static	-1	0	0	1	1	n/a
6.919075	1.199998	static	-1	0	0	2	1	n/a
8.250183	1.199931	static	-1	0	0	3	1	n/a
9.580270000000001	1.200031	static	-1	0	0	4	1	n/a
10.915538	1.200034	static	-1	0	0	5	1	n/a
12.252377	1.200005	static	-1	0	1	6	1	n/a
13.575874	1.200001	static	-1	0	0	7	1	n/a
14.893017	1.199996	static	-1	0	0	8	1	n/a
16.214283	0.6000180000000001	static	-1	1	0	9	1	n/a
16.946365	1.199994	static	-1	0	0	10	1	n/a
18.261914	1.200006	static	-1	0	0	11	1	n/a
19.598111	1.199996	static	-1	0	0	12	1	n/a
27.003174	1.200024	motion	0	0	1	1	2	n/a
28.342541	1.20003	motion	180	0	0	2	2	n/a
29.673977	1.200041	motion	0	0	0	3	2	n/a
31.005742	1.200019	motion	180	0	0	4	2	n/a
32.325101	1.201045	motion	0	0	0	5	2	n/a
33.642313	1.200037	motion	180	0	0	6	2	n/a
34.976931	0.600023	motion	0	1	0	7	2	n/a
35.709318	1.200007	motion	180	0	0	8	2	n/a
37.025811	1.20003	motion	0	0	0	9	2	n/a
38.343913	1.202039	motion	180	0	0	10	2	n/a
39.68085	1.200025	motion	0	0	0	11	2	n/a
41.012915	1.200039	motion	180	0	0	12	2	n/a
48.331671	1.199989	static	-1	0	0	1	3	n/a
49.671343	1.200002	static	-1	0	1	2	3	n/a
51.001504	1.200013	static	-1	0	0	3	3	n/a
52.31993	1.200004	static	-1	0	0	4	3	n/a
53.638029	1.199995	static	-1	0	0	5	3	n/a
54.954849	1.200007	static	-1	0	0	6	3	n/a
56.273587	1.200001	static	-1	0	0	7	3	n/a
57.589778	1.199961	static	-1	0	0	8	3	n/a
58.907517	1.200037	static	-1	0	0	9	3	n/a
60.22499	1.200014	static	-1	0	0	10	3	n/a
61.548178	0.6	static	-1	1	0	11	3	n/a
62.29548	1.199984	static	-1	0	0	12	3	n/a
69.625011	1.200011	motion	0	0	0	1	4	n/a
70.953571	1.200025	motion	180	0	0	2	4	n/a
72.284049	1.200023	motion	0	0	0	3	4	n/a
73.60118	1.200009	motion	180	0	0	4	4	n/a
74.918944	1.200038	motion	0	0	0	5	4	n/a
76.238007	0.6000220000000001	motion	180	1	0	6	4	n/a
