onset	duration	trial_type	event_number	coherence	coherence_scale	response_time	correct_response	subject_response	is_correct_response
2.065798	0.994739	0	1	0.784978	0.284978	1.114832	1	1	1
4.35057	0.994739	0	2	0.741024	0.241024	1.067859	1	1	1
6.57642	0.994739	0	3	0.698933	0.198933	1.05043	1	1	1
8.781579000000001	0.994739	0	4	0.6624060000000001	0.162406	0.958677	1	1	1
10.937573	0.994739	1	5	0.63237	0.13237	0.977218	2	2	1
13.124704	0.994739	0	6	0.60844	0.10844	0.81471	1	1	1
15.112239	0.994739	1	7	0.589616	0.089616	1.09108	2	2	1
17.354093	0.994739	1	8	0.573843	0.07384300000000001	1.184074	2	2	1
19.697438	0.994739	0	9	0.562462	0.062462	1.137298	1	1	1
21.986456	0.994739	1	10	0.55236	0.05236	1.129801	2	2	1
24.255492	0.994739	0	11	0.544773	0.044773	1.28397	1	1	1
26.679239	0.994739	0	12	0.5384910000000001	0.038491	1.122846	1	1	1
28.913509	0.994739	1	13	0.532738	0.032738	1.193534	2	2	1
31.249	0.994739	0	14	0.527527	0.027527	1.073301	1	1	1
33.462765	0.994739	1	15	0.523448	0.023448	1.116574	2	2	1
35.712009	0.994739	1	16	0.520571	0.020571	1.157053	2	2	1
38.023133	0.994739	1	17	0.51796	0.01796	1.051131	2	2	1
40.199118	0.994739	0	18	0.515564	0.015564	1.26842	1	2	0
42.608359	0.994739	0	19	0.522226	0.022226	0.996016	1	1	1
44.759885	0.994739	0	20	0.51958	0.01958	1.003997	1	1	1
46.919536	0.994739	0	21	0.5171559999999999	0.017156	0.987564	1	1	1
49.055365	0.994739	1	22	0.514914	0.014914	1.084065	2	2	1
51.295049	0.994739	1	23	0.512821	0.012821	0.948946	2	1	0
53.399104	0.994739	1	24	0.518738	0.018738	1.043952	2	1	0
55.574796	0.994739	0	25	0.525811	0.025811	0.940265	1	1	1
57.656646	0.994739	0	26	0.522806	0.022806	0.890588	1	1	1
59.646991	0.994739	0	27	0.520312	0.020312	1.052445	1	1	1
61.831051	0.994739	0	28	0.518015	0.018015	1.044562	1	1	1
63.991505	0.994739	1	29	0.51588	0.01588	0.877001	2	1	0
65.999927	0.994739	1	30	0.521882	0.021882	0.7872400000000001	2	1	0
67.943557	0.994739	0	31	0.53049	0.03049	0.587301	1	1	1
69.679822	0.994739	1	32	0.526524	0.026524	1.131148	2	1	0
71.918981	0.994739	1	33	0.536604	0.036604	1.084086	2	1	0
74.15497000000001	0.994739	1	34	0.546848	0.046848	1.256464	2	2	1
76.559487	0.994739	1	35	0.542425	0.042425	1.100803	2	1	0
78.79070400000001	0.994739	0	36	0.556067	0.056067	1.139954	1	1	1
81.079353	0.994739	1	37	0.550105	0.050105	1.020895	2	1	0
83.248065	0.994739	1	38	0.565422	0.06542199999999999	1.09189	2	2	1
85.49553299999999	0.994739	1	39	0.559477	0.059477	1.046257	2	1	0
87.673222	0.994739	1	40	0.573968	0.07396800000000001	0.993209	2	1	0
89.807309	0.994739	0	41	0.5938369999999999	0.093837	0.964017	1	1	1
91.927853	0.994739	0	42	0.586295	0.086295	0.867022	1	1	1
93.951415	0.994739	1	43	0.579186	0.07918600000000001	1.197517	2	2	1
96.27977300000001	0.994739	1	44	0.57272	0.07272000000000001	1.165208	2	2	1
98.61476	0.994739	0	45	0.56736	0.06736	0.86876	1	1	1
100.6636	0.994739	1	46	0.562263	0.062263	1.035752	2	1	0
102.839073	0.994739	1	47	0.574715	0.074715	1.043547	2	2	1
105.039352	0.994739	0	48	0.569601	0.069601	1.011968	1	1	1
107.191306	0.994739	1	49	0.564754	0.06475400000000001	1.060216	2	2	1
109.407234	0.994739	0	50	0.560087	0.060087	1.261204	1	2	0
111.799118	0.994739	0	51	0.57164	0.07164	1.059476	1	1	1
113.982591	0.994739	0	52	0.567013	0.067013	0.980223	1	1	1
116.129254	0.994739	0	53	0.562574	0.062574	1.018059	1	1	1
118.28739	0.994739	1	54	0.5582549999999999	0.058255	1.149334	2	1	0
120.567961	0.994739	1	55	0.569068	0.069068	1.211589	2	1	0
122.928801	0.994739	1	56	0.5829530000000001	0.082953	1.026761	2	2	1
125.11118	0.994739	0	57	0.577623	0.077623	1.09183	1	1	1
127.343479	0.994739	1	58	0.572823	0.072823	1.301283	2	1	0
129.783559	0.994739	0	59	0.58651	0.08651	1.124385	1	1	1
132.038993	0.994739	0	60	0.5815399999999999	0.08154	1.133118	1	1	1
