onset	duration	trial_type	event_number	coherence	coherence_scale	response_time	correct_response	subject_response	is_correct_response
2.007954	1.021322	0	1	0.784978	0.284978	0.508614	2	2	1
4.040245	0.992249	0	2	0.741024	0.241024	1.173603	2	2	1
6.379535	1.00383	0	3	0.698933	0.198933	1.313829	2	2	1
8.859529	0.988417	0	4	0.6624060000000001	0.162406	1.092059	2	2	1
11.157809	1.006973	0	5	0.63237	0.13237	1.007878	2	2	1
13.260512	0.9889	0	6	0.60844	0.10844	0.823778	1	1	1
15.253112	0.998715	0	7	0.589616	0.089616	1.250197	2	2	1
17.65816	0.994772	0	8	0.573843	0.07384300000000001	0.995069	2	1	0
19.769522	1.00155	0	9	0.6141219999999999	0.114122	0.702636	2	2	1
21.776395	0.995954	0	10	0.596042	0.096042	0.99614	2	2	1
23.786389	0.988059	0	11	0.581817	0.081817	1.25929	1	1	1
26.159471	0.997999	0	12	0.5700539999999999	0.07005400000000001	1.23096	1	1	1
28.528937	0.995811	0	13	0.560489	0.060489	1.047148	1	2	0
30.705694	1.004712	0	14	0.5844780000000001	0.084478	0.855393	1	2	0
32.715931	0.9965270000000001	0	15	0.617506	0.117506	0.796953	2	2	1
34.717761	0.997167	0	16	0.602445	0.102445	1.087903	1	1	1
36.93665	0.996316	0	17	0.59041	0.09041	1.229483	1	1	1
39.296949	1.00148	0	18	0.5795360000000001	0.079536	1.148615	2	2	1
41.608143	0.989386	0	19	0.570468	0.070468	1.229021	2	2	1
43.976397	0.987493	0	20	0.562844	0.062844	1.221686	2	2	1
46.344544	0.985899	0	21	0.555661	0.055661	1.247324	2	2	1
48.736721	0.99507	0	22	0.54916	0.04916	1.2536	1	2	0
51.129474	1.001648	0	23	0.566197	0.06619700000000001	1.268301	1	2	0
53.560421	0.9852379999999999	0	24	0.588364	0.088364	1.20734	1	2	0
55.920112	0.99211	0	25	0.616969	0.116969	1.273047	1	2	0
58.344057	1.002172	0	26	0.652307	0.152307	1.245944	1	2	0
60.752868	0.991676	0	27	0.694711	0.194711	0.8429219999999999	1	1	1
62.747522	1.000858	0	28	0.677933	0.177933	1.258677	2	2	1
65.121061	0.9927	0	29	0.663994	0.163994	1.269635	2	2	1
67.529166	1.001893	0	30	0.65108	0.15108	1.230509	2	2	1
69.89658799999999	0.999505	0	31	0.640659	0.140659	1.278017	2	2	1
72.31233	0.999784	0	32	0.630875	0.130875	1.237493	2	2	1
74.68797000000001	0.990587	0	33	0.622042	0.122042	1.246512	1	1	1
77.07373699999999	0.987906	0	34	0.6145389999999999	0.114539	1.230292	1	2	0
79.441312	0.987247	0	35	0.637816	0.137816	1.100484	2	2	1
81.696529	1.000414	0	36	0.629263	0.129263	1.253551	2	2	1
84.096763	0.998691	0	37	0.621664	0.121664	1.253779	1	1	1
86.496655	0.997687	0	38	0.615097	0.115097	1.277872	2	2	1
88.9058	0.98825	0	39	0.608743	0.108743	1.310421	1	1	1
91.360322	1.001119	0	40	0.602563	0.102563	1.214247	1	1	1
93.736586	0.991182	0	41	0.597019	0.09701899999999999	1.541059	1	1	1
96.424898	1.000072	0	42	0.592132	0.09213200000000001	1.262461	1	1	1
98.817064	0.989438	0	43	0.587396	0.087396	1.229595	2	2	1
101.209907	0.9968129999999999	0	44	0.582819	0.082819	1.220216	1	2	0
103.584923	0.988296	0	45	0.594716	0.09471599999999999	1.228816	1	1	1
105.961502	0.995818	0	46	0.590231	0.09023100000000001	1.269739	1	2	0
108.401897	0.9865119999999999	0	47	0.6040140000000001	0.104014	1.258773	2	2	1
110.800342	0.987417	0	48	0.598878	0.09887799999999999	1.262734	2	2	1
113.208227	0.997541	0	49	0.594597	0.094597	1.255184	2	2	1
115.624469	0.997437	0	50	0.590465	0.090465	1.293085	1	1	1
118.073471	0.997575	0	51	0.586421	0.086421	1.268621	2	2	1
120.512645	0.98952	0	52	0.5824780000000001	0.082478	1.133995	1	1	1
122.794036	0.993125	0	53	0.578494	0.07849399999999999	1.158214	2	2	1
125.088737	0.999094	0	54	0.574536	0.07453600000000001	1.191269	1	1	1
127.409739	0.99324	0	55	0.571303	0.07130300000000001	1.09347	2	2	1
129.640636	0.99798	0	56	0.568186	0.068186	1.198716	1	1	1
131.976655	0.995166	0	57	0.56515	0.06515	1.133657	1	2	0
134.25715	0.999263	0	58	0.574107	0.07410700000000001	1.228101	1	1	1
136.616126	0.989443	0	59	0.571058	0.071058	1.222342	2	2	1
139.00167	0.98539	0	60	0.568112	0.06811200000000001	1.372349	1	2	0
