onset	duration	trial_type	event_number	coherence	coherence_scale	response_time	correct_response	subject_response	is_correct_response
2.033806	1.020589	0	1	0.568847	0.568847	1.273401	1	1	1
4.488752	0.997679	0	2	0.450307	0.450307	0.8162700000000001	1	1	1
6.499802	0.989269	0	3	0.34952	0.34952	0.989632	1	1	1
8.561700999999999	0.995799	0	4	0.271037	0.271037	1.001934	1	1	1
10.738515	1.003511	1	5	0.208787	0.208787	1.248142	2	2	1
13.161912	0.996	0	6	0.160708	0.160708	1.279379	1	1	1
15.547784	0.994815	1	7	0.124492	0.124492	1.087652	2	2	1
17.806558	0.984868	1	8	0.095688	0.095688	1.315295	2	2	1
20.244148	0.998054	0	9	0.074957	0.074957	1.254739	1	1	1
22.644853	0.996012	1	10	0.057287	0.057287	1.10081	2	1	0
24.907996	1.001724	0	11	0.096565	0.096565	1.151722	1	1	1
27.203368	0.98828	0	12	0.07819	0.07819	1.096133	1	1	1
29.443727	0.997989	1	13	0.061437	0.061437	1.246714	2	2	1
31.868089	0.990717	0	14	0.047672	0.047672	1.119833	1	1	1
34.139567	0.985671	1	15	0.038835	0.038835	1.222904	2	1	0
36.498771	0.994255	1	16	0.06696000000000001	0.06696000000000001	1.128247	2	2	1
38.764927	0.995137	1	17	0.053322	0.053322	1.261498	2	2	1
41.171398	0.987632	0	18	0.04357	0.04357	1.207316	1	1	1
43.491123	1.002091	0	19	0.035951	0.035951	1.265346	1	1	1
45.892459	0.998915	0	20	0.029098	0.029098	1.20695	1	2	0
48.244823	0.997994	0	21	0.047981	0.047981	1.325344	1	1	1
50.718325	0.988832	1	22	0.040512	0.040512	1.117124	2	1	0
52.980932	0.994823	1	23	0.064345	0.064345	1.238511	2	1	0
55.34763	0.994664	1	24	0.089826	0.089826	1.207367	2	2	1
57.700068	0.991927	0	25	0.078223	0.078223	1.383353	1	1	1
60.211197	0.994592	0	26	0.06736499999999999	0.06736499999999999	1.230583	1	1	1
62.578973	0.994911	0	27	0.057384	0.057384	1.310916	1	1	1
65.035612	0.98667	0	28	0.048182	0.048182	1.296787	1	1	1
67.47618199999999	0.996301	1	29	0.0419	0.0419	1.359627	2	1	0
69.971625	0.998375	1	30	0.062007	0.062007	1.302064	2	2	1
72.443332	0.992366	0	31	0.052764	0.052764	1.142376	1	1	1
74.725506	0.9936199999999999	1	32	0.045676	0.045676	1.32547	2	1	0
77.164625	0.988069	1	33	0.065997	0.065997	1.268439	2	2	1
79.572451	0.996983	1	34	0.057537	0.057537	1.381747	2	1	0
82.107772	0.992987	1	35	0.077232	0.077232	1.446553	2	1	0
84.708888	0.989355	0	36	0.102759	0.102759	1.292578	1	1	1
87.139128	0.993252	1	37	0.093197	0.093197	1.278038	2	2	1
89.5557	0.992963	1	38	0.08519699999999999	0.08519699999999999	1.430189	2	1	0
92.12381999999999	0.989899	1	39	0.110153	0.110153	1.340975	2	2	1
94.61994799999999	0.9910600000000001	1	40	0.09922	0.09922	1.421281	2	2	1
97.187612	0.989184	0	41	0.09167	0.09167	1.360259	1	1	1
99.707252	1.002379	0	42	0.08472499999999999	0.08472499999999999	1.328109	1	1	1
102.188965	1.001887	1	43	0.07818600000000001	0.07818600000000001	1.262779	2	2	1
104.589177	1.000612	1	44	0.07188600000000001	0.07188600000000001	1.229238	2	2	1
106.949079	0.990555	0	45	0.06597500000000001	0.06597500000000001	1.260996	1	1	1
109.356914	0.9990059999999999	1	46	0.059939	0.059939	1.246515	2	2	1
111.732881	0.991169	1	47	0.053676	0.053676	1.127085	2	2	1
114.027971	0.996343	0	48	0.048085	0.048085	1.182262	1	1	1
116.372153	1.001976	1	49	0.043955	0.043955	1.21391	2	2	1
118.739891	0.998904	0	50	0.040141	0.040141	1.056115	1	1	1
120.948629	0.992564	0	51	0.036579	0.036579	1.182984	1	1	1
123.276236	0.997079	0	52	0.033213	0.033213	1.2059	1	2	0
125.627362	0.996126	0	53	0.042867	0.042867	0.996547	1	1	1
127.687285	0.988244	1	54	0.039332	0.039332	1.252392	2	1	0
130.085307	0.991277	1	55	0.049281	0.049281	1.220625	2	2	1
132.435125	0.99157	1	56	0.045458	0.045458	1.3039	2	2	1
134.875709	1.000008	0	57	0.04193	0.04193	1.309596	1	2	0
137.347543	0.992231	1	58	0.052567	0.052567	1.094402	2	2	1
139.587537	0.986464	0	59	0.047938	0.047938	1.262592	1	1	1
141.99536	0.996326	0	60	0.044398	0.044398	1.151439	1	2	0
