onset	duration	trial_type	event_number	coherence	coherence_scale	response_time	correct_response	subject_response	is_correct_response
2.010062	0.999841	1	1	0.784978	0.284978	0.999701	2	2	1
4.189954	0.999796	0	2	0.741024	0.241024	0.794697	1	1	1
6.157539	0.999773	0	3	0.698933	0.198933	0.8279570000000001	1	1	1
8.132028999999999	0.9997509999999999	1	4	0.6624060000000001	0.162406	0.66813	2	2	1
10.00939	0.9997509999999999	1	5	0.63237	0.13237	0.686433	2	2	1
11.866371	0.999728	1	6	0.60844	0.10844	0.695238	2	2	1
13.73781	0.999728	1	7	0.589616	0.089616	0.590849	2	2	1
15.514149	0.999728	1	8	0.573843	0.07384300000000001	0.702545	2	2	1
17.395075	0.999728	0	9	0.562462	0.062462	1.014631	1	1	1
19.562181	0.999728	1	10	0.55236	0.05236	0.7586039999999999	2	2	1
21.498793	0.999728	0	11	0.544773	0.044773	0.694747	1	2	0
23.363458	0.999728	0	12	0.566934	0.06693399999999999	0.925197	1	1	1
25.441868	0.999728	1	13	0.557131	0.057131	0.638864	2	2	1
27.258364	0.999728	1	14	0.548666	0.048666	0.806074	2	2	1
29.25047	0.999728	0	15	0.54254	0.04254	0.622215	1	1	1
31.042622	0.999728	1	16	0.536955	0.036955	0.630337	2	2	1
32.86729	0.999728	0	17	0.531928	0.031928	0.805844	1	2	0
34.852287	0.999728	1	18	0.544306	0.044306	0.653062	2	2	1
36.689816	0.999728	1	19	0.538916	0.038916	0.848342	2	2	1
38.707321	0.999728	1	20	0.533914	0.033914	0.901371	2	2	1
40.794913	0.999728	1	21	0.529325	0.029325	0.516498	2	1	0
42.492553	0.999728	1	22	0.540777	0.040777	0.843928	2	2	1
44.524409	0.999728	0	23	0.535942	0.035942	0.82959	1	1	1
46.523077	0.999728	0	24	0.531515	0.031515	0.66974	1	1	1
48.362777	0.999728	1	25	0.527248	0.027248	0.6376039999999999	2	2	1
50.171107	0.999728	0	26	0.523755	0.023755	0.645829	1	2	0
52.043189	0.999728	1	27	0.533712	0.033712	0.7652409999999999	2	2	1
53.994077	0.999728	0	28	0.529578	0.029578	0.734615	1	1	1
55.907034	0.999728	0	29	0.525555	0.025555	0.654022	1	1	1
57.738861	0.999728	0	30	0.522805	0.022805	0.733883	1	1	1
59.619487	0.999728	1	31	0.520448	0.020448	0.653107	2	2	1
61.449833	0.999728	0	32	0.518265	0.018265	0.838865	1	2	0
63.466315	0.999728	1	33	0.524378	0.024378	0.830954	2	2	1
65.466701	0.999728	0	34	0.521979	0.021979	1.101974	1	2	0
67.738494	0.999728	1	35	0.530091	0.030091	0.789737	2	2	1
69.705929	0.999728	0	36	0.526394	0.026394	0.8547090000000001	1	2	0
71.70562099999999	0.999728	0	37	0.535845	0.035845	0.91257	1	1	1
73.77739	0.999728	1	38	0.532176	0.032176	0.822987	2	2	1
75.777496	0.999728	0	39	0.528595	0.028595	0.759883	1	2	0
77.690602	0.999728	0	40	0.537724	0.037724	0.677953	1	1	1
79.506518	0.999728	0	41	0.5340549999999999	0.034055	0.702979	1	1	1
81.333129	0.999728	1	42	0.53059	0.03059	0.65885	2	2	1
83.12259400000001	0.999728	1	43	0.527182	0.027182	0.709651	2	2	1
85.00254700000001	0.999728	1	44	0.52419	0.02419	0.5190090000000001	2	1	0
86.658457	0.999728	0	45	0.532561	0.032561	0.591058	1	1	1
88.401881	0.999728	0	46	0.5292559999999999	0.029256	0.822701	1	2	0
90.394425	0.999728	0	47	0.537712	0.037712	0.45489	1	2	0
92.051276	0.999728	1	48	0.5478150000000001	0.047815	0.397062	2	1	0
93.62711299999999	0.999728	0	49	0.560358	0.060358	0.613245	1	1	1
95.395365	0.999728	1	50	0.555555	0.055555	0.684922	2	2	1
97.25124599999999	0.999728	0	51	0.5507840000000001	0.050784	0.813385	1	2	0
99.258723	0.999728	0	52	0.5631930000000001	0.063193	0.678461	1	2	0
101.113986	0.999728	0	53	0.57772	0.07772	0.71812	1	2	0
103.011527	0.999728	1	54	0.593692	0.093692	1.252501	2	2	1
105.419628	0.999728	0	55	0.587686	0.087686	0.756159	1	1	1
107.329585	0.999728	1	56	0.58187	0.08187	0.742603	2	2	1
109.25881	0.999728	0	57	0.576224	0.076224	0.6209519999999999	1	1	1
111.05217	0.999728	0	58	0.571505	0.071505	0.5321709999999999	1	2	0
112.778726	0.999728	1	59	0.5856710000000001	0.085671	0.549657	2	2	1
114.523276	0.999728	1	60	0.580423	0.08042299999999999	0.732674	2	2	1
