onset	duration	trial_type	event_number	coherence	coherence_scale	response_time	correct_response	subject_response	is_correct_response
2.019363	0.994739	0	1	0.784978	0.284978	1.119016	1	1	1
4.280435	0.994739	0	2	0.741024	0.241024	1.056563	1	1	1
6.472768	0.994739	1	3	0.698933	0.198933	0.929072	2	2	1
8.597742	0.994739	0	4	0.6624060000000001	0.162406	1.004717	1	1	1
10.788769	0.994739	1	5	0.63237	0.13237	1.038471	2	2	1
13.005026	0.994739	0	6	0.60844	0.10844	0.907352	1	1	1
15.060718	0.994739	1	7	0.589616	0.089616	0.956836	2	2	1
17.197044	0.994739	0	8	0.573843	0.07384300000000001	0.989113	1	1	1
19.333869	0.994739	1	9	0.562462	0.062462	0.891918	2	2	1
21.397599	0.994739	1	10	0.55236	0.05236	0.8674770000000001	2	2	1
23.445443	0.994739	1	11	0.544773	0.044773	0.892568	2	2	1
25.500793	0.994739	0	12	0.5384910000000001	0.038491	0.8530489999999999	1	1	1
27.516945	0.994739	0	13	0.532738	0.032738	0.845063	1	1	1
29.517642	0.994739	1	14	0.527527	0.027527	1.051771	2	2	1
31.708612	0.994739	0	15	0.523448	0.023448	1.151639	1	1	1
34.004444	0.994739	1	16	0.520571	0.020571	1.212779	2	1	0
36.356954	0.994739	0	17	0.530042	0.030042	1.021574	1	1	1
38.508941	0.994739	1	18	0.525226	0.025226	1.308563	2	1	0
40.964585	0.994739	1	19	0.537299	0.037299	1.180745	2	1	0
43.293307	0.994739	1	20	0.549914	0.049914	1.069298	2	2	1
45.518338	0.994739	0	21	0.544241	0.044241	0.866737	1	1	1
47.532885	0.994739	0	22	0.53905	0.03905	0.900194	1	1	1
49.59659	0.994739	0	23	0.534218	0.034218	0.956837	1	1	1
51.709007	0.994739	0	24	0.529773	0.029773	0.877553	1	1	1
53.725004	0.994739	0	25	0.5254760000000001	0.025476	0.94792	1	1	1
55.812956	0.994739	0	26	0.522622	0.022622	0.852786	1	1	1
57.798424	0.994739	0	27	0.52016	0.02016	0.9308999999999999	1	1	1
59.89244	0.994739	1	28	0.51789	0.01789	0.876925	2	1	0
61.925157	0.994739	1	29	0.524227	0.024227	1.028062	2	1	0
64.100179	0.994739	0	30	0.534189	0.034189	1.068955	1	1	1
66.308859	0.994739	0	31	0.530159	0.030159	0.972463	1	1	1
68.43720500000001	0.994739	0	32	0.526234	0.026234	0.973451	1	1	1
70.54154800000001	0.994739	1	33	0.523285	0.023285	1.197181	2	1	0
72.88615799999999	0.994739	1	34	0.532311	0.032311	0.931578	2	1	0
74.939432	0.994739	1	35	0.542137	0.042137	1.05457	2	2	1
77.15009499999999	0.994739	0	36	0.538035	0.038035	0.9719410000000001	1	1	1
79.285382	0.994739	1	37	0.534134	0.034134	0.958629	2	1	0
81.39666800000001	0.994739	0	38	0.543604	0.043604	1.013527	1	1	1
83.557008	0.994739	1	39	0.539631	0.039631	1.413412	2	1	0
86.11869299999999	0.994739	1	40	0.551219	0.051219	1.075855	2	2	1
88.351817	0.994739	1	41	0.54674	0.04674	0.97894	2	1	0
90.48523299999999	0.994739	0	42	0.560202	0.060202	0.956762	1	1	1
92.59686499999999	0.994739	0	43	0.554897	0.054897	1.028299	1	1	1
94.771945	0.994739	1	44	0.549729	0.049729	1.093432	2	2	1
97.02101	0.994739	0	45	0.545837	0.045837	1.044588	1	1	1
99.213026	0.994739	0	46	0.542183	0.042183	0.884957	1	1	1
101.245018	0.994739	1	47	0.538712	0.038712	1.403922	2	1	0
103.828811	0.994739	1	48	0.548714	0.048714	1.420778	2	2	1
106.389558	0.994739	1	49	0.54509	0.04509	1.291715	2	1	0
108.829121	0.994739	1	50	0.5565330000000001	0.056533	1.181795	2	2	1
111.149457	0.994739	1	51	0.551866	0.051866	1.211807	2	2	1
113.509141	0.994739	0	52	0.54786	0.04786	1.221432	1	2	0
115.884645	0.994739	1	53	0.5595020000000001	0.059502	1.092913	2	2	1
118.140934	0.994739	0	54	0.555077	0.055077	1.117582	1	2	0
120.430427	0.994739	1	55	0.566504	0.06650399999999999	1.674844	2	2	1
123.261392	0.994739	1	56	0.562102	0.062102	1.842566	2	2	1
126.244906	0.994739	0	57	0.557904	0.057904	1.948426	1	2	0
129.3353	0.994739	0	58	0.568689	0.068689	1.800607	1	2	0
132.261321	0.994739	1	59	0.582483	0.082483	1.19625	2	2	1
134.588943	0.994739	0	60	0.577139	0.077139	2.117205	1	2	0
