onset	duration	trial_type	event_number	coherence	coherence_scale	response_time	correct_response	subject_response	is_correct_response
2.002986	0.989167	0	1	0.784978	0.284978	0.691797	1	1	1
3.997612	0.996481	0	2	0.741024	0.241024	0.6328780000000001	2	2	1
6.005594	0.991969	0	3	0.698933	0.198933	0.528408	2	2	1
8.006784	0.993881	0	4	0.6624060000000001	0.162406	0.844977	1	1	1
10.036899	0.997543	0	5	0.63237	0.13237	0.799229	1	1	1
12.037689	0.999102	0	6	0.60844	0.10844	0.999271	2	2	1
14.050237	0.988996	0	7	0.589616	0.089616	0.790574	2	2	1
16.042471	1.000708	0	8	0.573843	0.07384300000000001	0.65311	2	2	1
18.048632	0.996853	0	9	0.562462	0.062462	0.831416	1	1	1
20.050638	0.9958939999999999	0	10	0.55236	0.05236	0.548894	2	2	1
22.049691	0.999142	0	11	0.544773	0.044773	0.999316	1	1	1
24.179423	0.989035	0	12	0.5384910000000001	0.038491	0.989335	2	1	0
26.21843	1.00242	0	13	0.557435	0.057435	1.002705	1	1	1
28.313408	0.992341	0	14	0.548845	0.048845	0.99263	1	1	1
30.371385	0.984971	0	15	0.542674	0.042674	0.985136	1	1	1
32.393732	0.999927	0	16	0.537052	0.037052	0.701979	2	2	1
34.398812	0.995138	0	17	0.531998	0.031998	0.797131	2	1	0
36.397248	1.001017	0	18	0.544435	0.044435	0.819174	1	1	1
38.403512	0.995668	0	19	0.539011	0.039011	1.003772	2	2	1
40.53738	0.997014	0	20	0.533981	0.033981	0.717639	1	1	1
42.538568	0.999225	0	21	0.529371	0.029371	0.866985	1	1	1
44.543371	0.9953419999999999	0	22	0.524949	0.024949	0.647736	1	1	1
46.542008	0.999004	0	23	0.522211	0.022211	1.057273	1	2	0
48.728088	0.998969	0	24	0.531693	0.031693	0.701304	2	2	1
50.732286	0.996402	0	25	0.527392	0.027392	0.815239	2	1	0
52.732241	0.998067	0	26	0.538232	0.038232	0.816257	1	2	0
54.733587	0.999058	0	27	0.552128	0.052128	1.026301	1	2	0
56.888905	0.996544	0	28	0.569651	0.069651	0.83144	1	1	1
58.895154	0.992905	0	29	0.562597	0.062597	0.843932	2	2	1
60.893152	0.995783	0	30	0.555922	0.055922	0.797644	1	2	0
62.892445	0.998854	0	31	0.572226	0.072226	0.717439	1	1	1
64.894572	0.99893	0	32	0.56558	0.06558	0.585519	2	2	1
66.896795	1.000752	0	33	0.559311	0.059311	0.670208	2	2	1
68.902871	0.997223	0	34	0.553417	0.053417	0.815506	2	2	1
70.905338	0.996974	0	35	0.548181	0.048181	0.71618	1	2	0
72.909402	0.993886	0	36	0.562671	0.062671	0.530682	2	2	1
74.906595	1.000409	0	37	0.556949	0.056949	0.586355	2	2	1
76.912284	0.997347	0	38	0.551491	0.051491	0.650038	2	2	1
78.915021	0.996642	0	39	0.547033	0.047033	0.499173	1	2	0
80.916809	0.9961989999999999	0	40	0.560264	0.060264	0.516353	1	2	0
82.91649	1.000124	0	41	0.573619	0.073619	0.502749	2	2	1
84.921885	0.995685	0	42	0.56817	0.06816999999999999	0.6650430000000001	1	1	1
86.92092100000001	1.001111	0	43	0.563002	0.063002	1.001413	1	1	1
89.041115	0.9987780000000001	0	44	0.558019	0.058019	0.7175550000000001	1	1	1
91.04520599999999	0.995458	0	45	0.553233	0.053233	0.582142	2	2	1
93.044034	0.999134	0	46	0.548808	0.048808	0.684858	1	2	0
95.04649999999999	0.999036	0	47	0.560978	0.060978	0.784541	2	2	1
97.04882499999999	0.999783	0	48	0.556435	0.056435	0.784886	1	1	1
99.052831	0.997436	0	49	0.551917	0.051917	1.130373	2	2	1
101.336808	0.9972490000000001	0	50	0.547998	0.047998	0.99742	2	1	0
103.353447	0.999482	0	51	0.559345	0.059345	0.619208	2	2	1
105.356277	1.000789	0	52	0.555061	0.055061	0.618635	1	2	0
107.362454	0.995351	0	53	0.566147	0.066147	0.598382	2	2	1
109.361141	0.999179	0	54	0.561899	0.061899	0.685272	1	2	0
111.363712	0.999008	0	55	0.5724089999999999	0.072409	1.003367	2	2	1
113.505044	0.992409	0	56	0.568184	0.06818399999999999	0.6616379999999999	2	2	1
115.500867	0.9991370000000001	0	57	0.564127	0.064127	0.684829	2	2	1
117.503195	0.999143	0	58	0.560178	0.060178	0.701283	1	2	0
119.505745	0.998618	0	59	0.5700460000000001	0.070046	0.537708	2	2	1
121.507667	0.9994189999999999	0	60	0.566157	0.06615699999999999	0.702035	1	1	1
