onset	duration	trial_type	event_number	coherence	coherence_scale	response_time	correct_response	subject_response	is_correct_response
2.009407	0.994058	1	1	0.568847	0.568847	0.611896	2	2	1
4.010535	0.993799	0	2	0.450307	0.450307	0.449592	1	1	1
6.012351	0.99718	0	3	0.34952	0.34952	0.531995	1	1	1
8.017499000000001	0.993165	0	4	0.271037	0.271037	0.695576	1	1	1
10.052713	0.992928	1	5	0.208787	0.208787	0.431035	2	2	1
12.050038	0.996961	0	6	0.160708	0.160708	0.469198	1	1	1
14.049519	0.999983	0	7	0.124492	0.124492	0.555038	1	1	1
16.05201	0.999843	1	8	0.095688	0.095688	0.422184	2	2	1
18.054356	0.99968	1	9	0.074957	0.074957	0.687534	2	2	1
20.056537	1.000186	0	10	0.057287	0.057287	0.406141	1	1	1
22.059278	0.999869	0	11	0.043867	0.043867	0.85083	1	1	1
24.062446	0.999151	1	12	0.034424	0.034424	1.007622	2	2	1
26.220493	0.993506	0	13	0.026075	0.026075	0.661867	1	1	1
28.22643	0.988684	0	14	0.018509	0.018509	0.593181	1	2	0
30.217604	1.001349	0	15	0.033283	0.033283	0.505196	1	1	1
32.223505	0.996801	0	16	0.02562	0.02562	0.6509509999999999	1	1	1
34.222267	0.983551	0	17	0.018612	0.018612	0.7204700000000001	1	1	1
36.207722	0.984054	0	18	0.012518	0.012518	0.5711079999999999	1	1	1
38.193877	0.983308	0	19	0.006598	0.006598	0.536839	1	1	1
40.179685	0.985334	1	20	0.000761	0.000761	0.605079	2	1	0
42.16981	0.997422	0	21	0.013991	0.013991	0.683449	1	1	1
44.171669	0.998155	1	22	0.008305	0.008305	1.244374	2	2	1
46.57658	0.9911489999999999	1	23	0.002697	0.002697	0.5793430000000001	2	1	0
48.570212	1.000025	1	24	0.015408	0.015408	0.753717	2	2	1
50.572723	0.984799	1	25	0.009941999999999999	0.009941999999999999	0.9850950000000001	2	1	0
52.601216	0.990905	1	26	0.022174	0.022174	0.825093	2	1	0
54.595393	0.9985000000000001	1	27	0.034433	0.034433	0.78512	2	2	1
56.596402	1.000204	0	28	0.02819	0.02819	0.571512	1	1	1
58.599455	0.99916	1	29	0.022401	0.022401	0.999363	2	1	0
60.649215	1.001647	0	30	0.033964	0.033964	0.804472	1	1	1
62.653344	0.9996429999999999	1	31	0.028132	0.028132	0.737032	2	1	0
64.655663	1.001643	1	32	0.044446	0.044446	0.852953	2	1	0
66.661812	0.997699	0	33	0.067292	0.067292	0.831626	1	1	1
68.668948	0.991707	1	34	0.057424	0.057424	0.49548	2	2	1
70.663809	1.000593	1	35	0.048299	0.048299	1.000897	2	1	0
72.753013	0.9964499999999999	0	36	0.071007	0.071007	0.798255	1	1	1
74.75389300000001	0.9971950000000001	0	37	0.061964	0.061964	0.699316	1	1	1
76.75437599999999	1.000058	1	38	0.052829	0.052829	0.60306	2	1	0
78.75888500000001	0.9977279999999999	0	39	0.074212	0.074212	0.650411	1	1	1
80.76123	0.997822	1	40	0.065885	0.065885	0.998107	2	1	0
82.825227	0.985962	0	41	0.08486200000000001	0.08486200000000001	1.016776	1	2	0
85.02452099999999	0.986113	1	42	0.11339	0.11339	0.606302	2	2	1
87.013124	1.000522	1	43	0.100839	0.100839	1.000719	2	2	1
89.08885100000001	0.994265	1	44	0.092059	0.092059	0.994564	2	2	1
91.10774000000001	0.993304	0	45	0.084268	0.084268	0.5136269999999999	1	1	1
93.10411499999999	1.000514	0	46	0.076969	0.076969	0.62038	1	1	1
95.10909700000001	0.996843	0	47	0.069956	0.069956	0.997038	1	2	0
97.160758	0.997209	1	48	0.084886	0.084886	0.5671079999999999	2	2	1
99.161233	0.99995	1	49	0.078212	0.078212	0.75222	2	2	1
101.165662	0.997926	1	50	0.071797	0.071797	1.0352	2	2	1
103.344764	0.9857399999999999	0	51	0.065793	0.065793	1.245324	1	1	1
105.721239	0.993467	0	52	0.059667	0.059667	0.580086	1	1	1
107.719167	0.996885	1	53	0.053317	0.053317	0.748988	2	2	1
109.719335	0.998584	0	54	0.047813	0.047813	0.998749	1	2	0
111.809168	0.994015	1	55	0.062787	0.062787	0.779609	2	2	1
113.805538	1.001592	1	56	0.056926	0.056926	1.035161	2	2	1
115.984736	0.989417	1	57	0.050797	0.050797	0.840463	2	2	1
117.977556	0.998096	0	58	0.046406	0.046406	1.02987	1	2	0
120.143684	1.00155	0	59	0.0601	0.0601	0.836209	1	2	0
122.149724	0.9971	1	60	0.072922	0.072922	0.997294	2	2	1
