onset	duration	trial_type	direction	speedDegVA	target	event	block	keyName
5.321035	1.217638	static	-1	15	0	1	1	n/a
6.705403	1.201037	static	-1	15	0	2	1	n/a
8.039921	1.200896	static	-1	15	0	3	1	n/a
9.374181999999999	1.201023	static	-1	15	1	4	1	n/a
9.94131	0	response	n/a	n/a	n/a	n/a	n/a	c
10.72545	1.200978	static	-1	15	0	5	1	n/a
12.059881	1.200982	static	-1	15	0	6	1	n/a
13.377632	1.200969	static	-1	15	0	7	1	n/a
14.69537	1.200954	static	-1	15	0	8	1	n/a
16.01313	1.200946	static	-1	15	0	9	1	n/a
17.330735	1.201106	static	-1	15	0	10	1	n/a
18.648607	1.200981	static	-1	15	0	11	1	n/a
19.966404	1.200926	static	-1	15	0	12	1	n/a
29.311984	1.196322	motion	180	15	0	1	2	n/a
30.624995	1.201045	motion	0	15	0	2	2	n/a
31.942822	1.200978	motion	180	15	0	3	2	n/a
33.260464	1.201084	motion	0	15	0	4	2	n/a
34.578281	1.201011	motion	180	15	0	5	2	n/a
35.896056	1.200976	motion	0	15	1	6	2	n/a
36.397168	0	response	n/a	n/a	n/a	n/a	n/a	c
37.213735	1.201044	motion	180	15	0	7	2	n/a
38.531519	1.201009	motion	0	15	0	8	2	n/a
39.849263	1.200978	motion	180	15	0	9	2	n/a
41.167018	1.200759	motion	0	15	0	10	2	n/a
42.484788	1.200989	motion	180	15	0	11	2	n/a
43.802562	1.200942	motion	0	15	0	12	2	n/a
53.143402	1.200979	static	-1	15	0	1	3	n/a
54.461261	1.200966	static	-1	15	0	2	3	n/a
55.779012	1.200942	static	-1	15	0	3	3	n/a
57.096741	1.200956	static	-1	15	0	4	3	n/a
58.414259	1.201023	static	-1	15	0	5	3	n/a
59.732103	1.201114	static	-1	15	1	6	3	n/a
60.261283	0	response	n/a	n/a	n/a	n/a	n/a	c
61.049978	1.200976	static	-1	15	0	7	3	n/a
62.367727	1.200988	static	-1	15	0	8	3	n/a
63.685482	1.200899	static	-1	15	0	9	3	n/a
65.003145	1.201024	static	-1	15	0	10	3	n/a
66.32097	1.200973	static	-1	15	0	11	3	n/a
67.638705	1.200959	static	-1	15	0	12	3	n/a
76.979643	1.20092	motion	0	15	0	1	4	n/a
78.297438	1.200964	motion	180	15	0	2	4	n/a
79.615179	1.200983	motion	0	15	0	3	4	n/a
80.93292099999999	1.200951	motion	180	15	1	4	4	n/a
81.46128	0	response	n/a	n/a	n/a	n/a	n/a	c
82.250681	1.200982	motion	0	15	0	5	4	n/a
83.568411	1.200981	motion	180	15	0	6	4	n/a
84.886167	1.200962	motion	0	15	0	7	4	n/a
86.20387100000001	1.200994	motion	180	15	0	8	4	n/a
87.521638	1.200999	motion	0	15	0	9	4	n/a
88.839371	1.200906	motion	180	15	0	10	4	n/a
90.157023	1.201073	motion	0	15	0	11	4	n/a
91.474878	1.200967	motion	180	15	0	12	4	n/a
100.832417	1.201009	static	-1	15	0	1	5	n/a
102.150307	1.200959	static	-1	15	0	2	5	n/a
103.468038	1.200992	static	-1	15	0	3	5	n/a
104.785734	1.201038	static	-1	15	0	4	5	n/a
106.103511	1.201005	static	-1	15	1	5	5	n/a
106.621143	0	response	n/a	n/a	n/a	n/a	n/a	c
107.42129	1.200976	static	-1	15	0	6	5	n/a
108.738927	1.201084	static	-1	15	0	7	5	n/a
110.056758	1.200969	static	-1	15	0	8	5	n/a
111.374515	1.20086	static	-1	15	0	9	5	n/a
112.692133	1.201103	static	-1	15	0	10	5	n/a
114.009995	1.200992	static	-1	15	0	11	5	n/a
115.327762	1.200979	static	-1	15	0	12	5	n/a
124.668637	1.200875	motion	180	15	0	1	6	n/a
125.986488	1.200942	motion	0	15	1	2	6	n/a
126.637175	0	response	n/a	n/a	n/a	n/a	n/a	c
127.304231	1.200842	motion	180	15	0	3	6	n/a
128.621961	1.200978	motion	0	15	0	4	6	n/a
129.939485	1.201215	motion	180	15	0	5	6	n/a
131.257442	1.201049	motion	0	15	0	6	6	n/a
132.575177	1.201012	motion	180	15	0	7	6	n/a
133.892956	1.200951	motion	0	15	0	8	6	n/a
135.210694	1.200985	motion	180	15	0	9	6	n/a
136.528418	1.200885	motion	0	15	0	10	6	n/a
137.846188	1.20099	motion	180	15	0	11	6	n/a
139.163941	1.200965	motion	0	15	0	12	6	n/a
148.504866	1.201005	static	-1	15	0	1	7	n/a
149.822649	1.200964	static	-1	15	0	2	7	n/a
151.140416	1.200958	static	-1	15	0	3	7	n/a
152.458077	1.201027	static	-1	15	1	4	7	n/a
152.997257	0	response	n/a	n/a	n/a	n/a	n/a	c
153.775873	1.201011	static	-1	15	0	5	7	n/a
155.093449	1.201158	static	-1	15	0	6	7	n/a
156.411404	1.200954	static	-1	15	0	7	7	n/a
157.729128	1.200987	static	-1	15	0	8	7	n/a
159.046877	1.200985	static	-1	15	0	9	7	n/a
160.364624	1.200987	static	-1	15	0	10	7	n/a
161.682266	1.201092	static	-1	15	0	11	7	n/a
163.000096	1.200976	static	-1	15	0	12	7	n/a
172.341078	1.200896	motion	0	15	0	1	8	n/a
173.65886	1.200972	motion	180	15	0	2	8	n/a
174.976576	1.201001	motion	0	15	0	3	8	n/a
176.294337	1.200971	motion	180	15	0	4	8	n/a
177.612088	1.20095	motion	0	15	1	5	8	n/a
178.141267	0	response	n/a	n/a	n/a	n/a	n/a	c
178.929822	1.200961	motion	180	15	0	6	8	n/a
180.247651	1.200805	motion	0	15	0	7	8	n/a
181.565351	1.200922	motion	180	15	0	8	8	n/a
182.88312	1.200901	motion	0	15	0	9	8	n/a
184.200799	1.200971	motion	180	15	0	10	8	n/a
185.518559	1.200956	motion	0	15	0	11	8	n/a
186.836304	1.201008	motion	180	15	0	12	8	n/a
196.177251	1.200908	static	-1	15	0	1	9	n/a
197.495034	1.20095	static	-1	15	0	2	9	n/a
198.812544	1.201224	static	-1	15	0	3	9	n/a
200.130508	1.200994	static	-1	15	0	4	9	n/a
201.448197	1.201057	static	-1	15	0	5	9	n/a
202.766056	1.200927	static	-1	15	0	6	9	n/a
204.083763	1.200976	static	-1	15	1	7	9	n/a
204.613283	0	response	n/a	n/a	n/a	n/a	n/a	c
205.401508	1.200982	static	-1	15	0	8	9	n/a
206.719248	1.200993	static	-1	15	0	9	9	n/a
208.036991	1.200984	static	-1	15	0	10	9	n/a
209.354781	1.200936	static	-1	15	0	11	9	n/a
210.67249	1.200986	static	-1	15	0	12	9	n/a
220.013199	1.201258	motion	0	15	0	1	10	n/a
221.331217	1.200991	motion	180	15	0	2	10	n/a
222.6489	1.201013	motion	0	15	0	3	10	n/a
223.966684	1.201007	motion	180	15	0	4	10	n/a
225.284423	1.200997	motion	0	15	0	5	10	n/a
226.602176	1.201004	motion	180	15	0	6	10	n/a
227.91993	1.201008	motion	0	15	0	7	10	n/a
229.237687	1.200984	motion	180	15	1	8	10	n/a
229.749251	0	response	n/a	n/a	n/a	n/a	n/a	c
